"","t","x","y","z","v","w"
"5857",292.8,99.6058878277532,0.00955692788155545,0.243177571821524,6.4594562369849,0.00354050250930087
"5858",292.85,99.5987709412081,0.00982545769945976,0.250062196686948,6.64348365594127,0.00364100777519062
"5859",292.9,99.5943317369101,0.0099902437911982,0.254308590671638,6.75703718003039,0.00370334520403191
"5860",292.95,99.5963082544384,0.00991136853884139,0.252352591987096,6.70554407008422,0.00367550797745691
"5861",293,99.5872110863879,0.0102566292863542,0.261196496395146,6.94115900333008,0.00380491999908941
"5862",293.05,99.5922066356871,0.0100651187793275,0.256371467569216,6.81302129955598,0.0037355235680358
"5863",293.1,99.5968614019431,0.0098864164808999,0.251870312888838,6.69375981768495,0.0036706504074643
"5864",293.15,99.5981422547022,0.00983380569575573,0.250579925271759,6.6600818065783,0.0036524021517114
"5865",293.2,99.5997489280514,0.00976901091920226,0.248978141877661,6.61819549097754,0.00362956555348416
"5866",293.25,99.5963803130497,0.00989267459355419,0.252179478001304,6.70408326474596,0.0036766974883532
"5867",293.3,99.6019540657477,0.00968025583505053,0.246812850189825,6.56199823066045,0.00359901251499401
"5868",293.35,99.6053482554227,0.0095488256776557,0.243509071604803,6.4750516102739,0.00355121393135252
"5869",293.4,99.6067681223291,0.00949125927232793,0.242087694787137,6.43833992498455,0.0035307539315975
"5870",293.45,99.6011181763186,0.00970260914574005,0.247525898049764,6.58416464335887,0.0036102966843897
"5871",293.5,99.605722959746,0.00952632855011302,0.243075150024096,6.46661552921719,0.00354578185954952
"5872",293.55,99.5972067529961,0.0098487229293054,0.251349050583381,6.68787543574181,0.00366674139900359
"5873",293.6,99.6038783915352,0.0095962055618196,0.244950819993479,6.51824887009063,0.00357393323047081
"5874",293.65,99.6035046063383,0.00960616694037298,0.245251034116221,6.52723690977194,0.00357863554338714
"5875",293.7,99.6003996034806,0.00971973988505119,0.248196852595278,6.6066290384124,0.00362195662501683
"5876",293.75,99.5976803343396,0.00981854747949617,0.250766414121486,6.67584365487163,0.00365989350665789
"5877",293.8,99.6030690546377,0.00961348144138396,0.245574266388257,6.53826563775893,0.00358462925627459
"5878",293.85,99.6064280722117,0.00948372455117219,0.242303956222897,6.452138564735,0.00353723227575664
"5879",293.9,99.6098732136274,0.00935086811664653,0.238952951815836,6.36403227638823,0.00348854433918485
"5880",293.95,99.6024428561335,0.00963083907509696,0.246151802979732,6.55712986786148,0.00359377155556514
"5881",294,99.6064812958405,0.00947596145362575,0.242236937346227,6.45374457091812,0.00353697629230601
"5882",294.05,99.6132677265474,0.00922000365682753,0.235735955976549,6.28165110955247,0.00344228212723105
"5883",294.1,99.6172828129896,0.00906629024720259,0.231847005383413,6.17950558869088,0.00338551930138726
"5884",294.15,99.6105192962021,0.00932051516485174,0.238390284173894,6.35568270803259,0.00348097030544893
"5885",294.2,99.6072622499512,0.00943990857749589,0.241486602530686,6.43959999341468,0.00352629828232375
"5886",294.25,99.6023849169708,0.00962115490253109,0.246166404769009,6.56558568343308,0.00359485602333339
"5887",294.3,99.6132212398213,0.00921822957930247,0.235898458663708,6.29258692875399,0.00344526988895375
"5888",294.35,99.6082280911339,0.00940401171256037,0.240694470296022,6.42203610754037,0.0035153530242174
"5889",294.4,99.6157297732391,0.0091223318265116,0.233525310150553,6.23192517447619,0.00341083531661428
"5890",294.45,99.623089060486,0.00884614220033555,0.226493971206759,6.04585229907451,0.00330810324462777
"5891",294.5,99.6198732392632,0.00896413056438294,0.229554150711957,6.12958185125251,0.0033525517509088
"5892",294.55,99.6191727204828,0.00898676749338586,0.23017312422817,6.14795116780388,0.00336144050908354
"5893",294.6,99.6131803213763,0.00921097381699668,0.235955759266846,6.30424831157645,0.00344575712679994
"5894",294.65,99.6204104734379,0.00893960791488098,0.229043149377944,6.12097626250261,0.00334486020281317
"5895",294.7,99.6135065965451,0.00919895163975938,0.235727659447323,6.30152347326136,0.00344231412166368
"5896",294.75,99.6212570457546,0.00890874861212535,0.228329586798747,6.10517804603445,0.00333432842201869
"5897",294.8,99.6207039149088,0.00892586554247246,0.228806665567059,6.11982802233984,0.00334111822960075
"5898",294.85,99.6216059690975,0.00888840213733259,0.227884446285457,6.09701253913457,0.00332749250158753
"5899",294.9,99.6344285241069,0.00841641646134914,0.215819481718359,5.77602285432445,0.00315114895241639
"5900",294.95,99.6328078471475,0.00847399055673091,0.21733188326553,5.81911539072982,0.00317270628696958
"5901",295,99.6399553567617,0.00820660307289794,0.210509136993764,5.63886113971136,0.00307264288407019
"5902",295.05,99.6331462380965,0.00846265135689658,0.217113022939515,5.81874142134365,0.00316836354778783
"5903",295.1,99.6367452091235,0.00832529025445583,0.213624415078721,5.72771087246258,0.00311698713485453
"5904",295.15,99.6351604949343,0.00838150792586881,0.215102592796092,5.77006458105383,0.00313798838497053
"5905",295.2,99.6373586346451,0.0082960707245078,0.212945247919244,5.71477937200016,0.00310600164167251
"5906",295.25,99.6291068486421,0.00860782042831206,0.220983923816681,5.93334525928075,0.00322265905841987
"5907",295.3,99.6253786367699,0.00874515168726227,0.22454684540663,6.03130545682758,0.00327426141116498
"5908",295.35,99.625304674624,0.00874433570102205,0.224563164623399,6.03379404255038,0.00327425378249459
"5909",295.4,99.6349464459071,0.00838690606127151,0.215419694764489,5.79007953435134,0.00314070466972727
"5910",295.45,99.6286565784749,0.00862243325655128,0.221505789962642,5.95630381873458,0.00322892812917864
"5911",295.5,99.6323509399516,0.00848164704604441,0.21792503834262,5.86219317201023,0.00317641304498238
"5912",295.55,99.6297862694327,0.00857476377332855,0.220353837172111,5.92996900009969,0.00321139007588935
"5913",295.6,99.630037734732,0.00856184724636603,0.220058133385,5.92427685124323,0.00320673233385172
"5914",295.65,99.6392742138616,0.00821948884911692,0.211293506902647,5.69051082843293,0.00307867282074257
"5915",295.7,99.6263113839835,0.00871596421997789,0.224092809874747,6.03817100787365,0.00326454476310303
"5916",295.75,99.6266762702745,0.00869875741405323,0.223687177426433,6.02927410682066,0.00325840586675569
"5917",295.8,99.6326937675465,0.00847294485584205,0.217916175127757,5.87572501552647,0.00317410790936091
"5918",295.85,99.6340122670409,0.00842030689788761,0.216597765021591,5.84254788486872,0.00315450684114638
"5919",295.9,99.6226314893357,0.00885355164227654,0.227779400438841,6.14674757320041,0.00331690015437885
"5920",295.95,99.634034088976,0.00843362441008952,0.217011215436909,5.857880949244,0.00315999312017989
"5921",296,99.6304065896089,0.00856693724722891,0.220477412470368,5.95390896390222,0.00321004385618463
"5922",296.05,99.6290063942108,0.00861596172105817,0.221775144556225,5.99118525666982,0.00322862128827027
"5923",296.1,99.6371167779974,0.00831456180114539,0.214051845484634,5.78460682353033,0.00311591965013206
"5924",296.15,99.6349393995893,0.00839296738504492,0.216105280734801,5.84270685683185,0.00314532059057757
"5925",296.2,99.6336929641037,0.00843626772351212,0.217255333286528,5.87627105494567,0.00316163023474657
"5926",296.25,99.6369044562174,0.00831369757510686,0.21413345877265,5.79418291152653,0.00311581308596109
"5927",296.3,99.6460466023115,0.00797572354707877,0.205461519032063,5.56198971854504,0.00298917572490965
"5928",296.35,99.65739431403,0.00755971418918846,0.194776114076691,5.27563045852925,0.00283306260436746
"5929",296.4,99.6573348551582,0.00755887175319114,0.194785729028132,5.27956809364681,0.00283226914786873
"5930",296.45,99.6604628959078,0.00743989928304119,0.19175085817695,5.20092099394808,0.00278722785790133
"5931",296.5,99.6604828372474,0.00743613223054655,0.191684799007702,5.20296577678624,0.00278528157567647
"5932",296.55,99.6572593149141,0.00755442032646034,0.194765632704539,5.29048509069525,0.0028290500150349
"5933",296.6,99.6634385614006,0.00732420102750219,0.188861049067037,5.13363197012783,0.00274240095300808
"5934",296.65,99.6659324409785,0.00722873650175534,0.1864299328419,5.07148080889221,0.00270608370532546
"5935",296.7,99.6614173446007,0.00739623253586688,0.190781036700344,5.19405715981605,0.00276814480850426
"5936",296.75,99.6704680766366,0.00706316472972567,0.182219906634524,4.96465877124134,0.00264299365387241
"5937",296.8,99.6719365534258,0.00700570721773256,0.180767541423496,4.92940022974067,0.00262079676367393
"5938",296.85,99.6718459244011,0.00700620981656166,0.180810641296651,4.93499890480462,0.00262026076939202
"5939",296.9,99.6744004816383,0.00690871625992565,0.178324502805771,4.87149264831187,0.00258309491247836
"5940",296.95,99.6698748027464,0.00707667370258111,0.182690533179698,4.9954228148901,0.00264511770852381
"5941",297,99.6711727853847,0.00702552688022275,0.18140093255167,4.96441101700333,0.00262534905533769
"5942",297.05,99.6706082084043,0.00704368684641354,0.181900866562369,4.98245229132061,0.00263145864726952
"5943",297.1,99.6748038476209,0.00688614109589987,0.177862819544124,4.8760592832379,0.00257196017559982
"5944",297.15,99.6656010412136,0.00723484732871318,0.186901797212713,5.12862864392827,0.00270143272617681
"5945",297.2,99.6634511932873,0.00731235605144372,0.188936943569984,5.18851205936444,0.00272984205346251
"5946",297.25,99.6638968142983,0.00729271821634366,0.188462425751293,5.17933780038378,0.00272204107514754
"5947",297.3,99.6605232511841,0.00741638059539182,0.191691740645641,5.27203897762697,0.00276771560949989
"5948",297.35,99.6575893677999,0.00752331363995162,0.194489846530009,5.3527355072717,0.00280722618113362
"5949",297.4,99.6571277382794,0.00753735582996411,0.194887247807288,5.3671939456941,0.00281215156971014
"5950",297.45,99.6615016203745,0.00737313988389154,0.190674972615918,5.25459570659005,0.0027505924572606
"5951",297.5,99.6682157304073,0.00712437784632615,0.18427442617519,5.08181040456002,0.00265740741247677
"5952",297.55,99.668171915117,0.0071230079984662,0.184271669885626,5.08583090319063,0.00265635660242563
"5953",297.6,99.6742057233891,0.00689904961434181,0.178509667771138,4.93076198195473,0.0025723211391739
"5954",297.65,99.6790549897532,0.00671811393213748,0.173859083890969,4.8066106347694,0.00250422514900418
"5955",297.7,99.6849570305138,0.00649934258711575,0.168227627092612,4.65545658326828,0.0024219626140576
"5956",297.75,99.6850222904903,0.00649416221252137,0.168123823309162,4.65759425826085,0.00241919584707464
"5957",297.8,99.6908791247624,0.00627729216524439,0.162538874870391,4.50771496586986,0.00233760635264013
"5958",297.85,99.6931067849074,0.00619236454251915,0.160369084324754,4.45279988882096,0.00230507391800015
"5959",297.9,99.6896950572802,0.00631781418762102,0.163648035729036,4.54940390083542,0.00235080809573119
"5960",297.95,99.6886899496198,0.00635256058782419,0.164578568953578,4.58054431679998,0.00236285391211498
"5961",298,99.6919965548688,0.00622817497693488,0.161386199853579,4.4967690850231,0.00231575338483563
"5962",298.05,99.6910546668424,0.0062605706125853,0.162256142904955,4.52639277425083,0.00232689656427957
"5963",298.1,99.6954375469792,0.00609720527858884,0.158052115536897,4.4142693436098,0.0022653283415299
"5964",298.15,99.6960159838759,0.00607312150270761,0.157457826981102,4.40318337974263,0.00225545102766829
"5965",298.2,99.7004705727441,0.0059073534326681,0.153189383128498,4.28922589526841,0.00219298091130437
"5966",298.25,99.6990880772412,0.00595630890594936,0.154488776765191,4.33145939659608,0.00221015769157303
"5967",298.3,99.6918249943008,0.00622941656930578,0.161603900666178,4.53692305867676,0.00231049567626243
"5968",298.35,99.6938606935036,0.00615160748599668,0.159616810154108,4.48634172028164,0.00228081792688909
"5969",298.4,99.6933191071375,0.00616901575979884,0.160100233875731,4.50532414313699,0.0022864163911255
"5970",298.45,99.69440861967,0.00612601254595292,0.159015932908372,4.48011296031062,0.00226964880802093
"5971",298.5,99.6945282491491,0.00611886019867348,0.158862180531368,4.48116815014915,0.00226615578522602
"5972",298.55,99.6956013871887,0.00607648346085381,0.157793867185125,4.45638711696892,0.00224963027961782
"5973",298.6,99.6854372651605,0.00646244899723204,0.167850756002406,4.74620245479811,0.00239162310767173
"5974",298.65,99.6828340999046,0.00655674526784239,0.170334888582757,4.82133673925201,0.0024258620186692
"5975",298.7,99.6843984373978,0.00649609895743191,0.168794200609592,4.78234485689075,0.00240284015161449
"5976",298.75,99.6847747697462,0.00647925198829515,0.168391319756952,4.77566238513836,0.00239599729243768
"5977",298.8,99.6875135587282,0.00637569276032851,0.165734354444677,4.70499237811048,0.00235709863301517
"5978",298.85,99.6831266335316,0.00653734345731124,0.169971906461945,4.83032668143474,0.00241618675830248
"5979",298.9,99.6793374298783,0.0066761809594209,0.173618152171913,4.93868742766007,0.00246692621350358
"5980",298.95,99.6808539628215,0.00661725858037848,0.172122142168289,4.90050255443144,0.00244468198634778
"5981",299,99.6781239154889,0.00671605619503012,0.174728937502913,4.97927915385013,0.00248067310671369
"5982",299.05,99.676141979147,0.00678673050160246,0.176605146361413,5.03711343826858,0.00250633732466602
"5983",299.1,99.6819131147981,0.00657349530306865,0.171092764580187,4.88395603494857,0.00242721611106367
"5984",299.15,99.6769788730299,0.00675554044614437,0.175868500735179,5.02493525605597,0.00249391885866297
"5985",299.2,99.6775072692105,0.00673294600542212,0.175317862423956,5.01341278346185,0.00248519131373903
"5986",299.25,99.6772431195173,0.00673963937788855,0.175529854659072,5.02372864069346,0.0024872680240198
"5987",299.3,99.6793162183653,0.00666036869494445,0.173502664133512,4.96988745726732,0.00245763599072517
"5988",299.35,99.6750620663598,0.0068163887168408,0.177605318550893,5.09185076341307,0.00251477553950472
"5989",299.4,99.6735469616562,0.00686946519274741,0.179027033301467,5.13672381080899,0.0025340359082908
"5990",299.45,99.6654374509203,0.00717248579481926,0.186964721543132,5.36863653543788,0.00264552507533579
"5991",299.5,99.6651775416351,0.00717879021537736,0.187169813080159,5.37801600112413,0.00264778061197805
"5992",299.55,99.6666963678606,0.0071196295543745,0.185667781627054,5.33829631437579,0.00262590114591673
"5993",299.6,99.6709939707489,0.00695947453994172,0.181530751867412,5.22282180947539,0.00256673935414263
"5994",299.65,99.6702308703999,0.00698449203159632,0.182222987346025,5.24655273414775,0.00257576908762355
"5995",299.7,99.671323121207,0.00694109157734578,0.18113017672699,5.21881544742194,0.00255959161217738
"5996",299.75,99.6679849741383,0.007062139640608,0.184329189739696,5.3148633844559,0.0026040304618113
"5997",299.8,99.6704386324594,0.00696896763741664,0.181937071365053,5.24944637119103,0.00256956885267547
"5998",299.85,99.6703393502669,0.00696941730397009,0.181988595230753,5.25467767754877,0.00256957027899211
"5999",299.9,99.6729775538543,0.00686961944535779,0.179421888764423,5.18424737207188,0.00253262020864441
"6000",299.95,99.6746841818678,0.00680383481005909,0.17774262483144,5.13957403284317,0.00250815250622811
"6001",300,99.6749133808422,0.00679225435646683,0.177478990114331,5.13592496390766,0.00250363133933098
"6002",300.05,99.6748426592039,0.0067917241102522,0.177504090841812,5.14063994785748,0.00250318288985769
"6003",300.1,99.6659169919882,0.00712547224204176,0.186267658195739,5.39861334950976,0.00262593184126819
"6004",300.15,99.6631660362315,0.00722421104729473,0.188890442712576,5.47810236220782,0.00266230504733827
"6005",300.2,99.6600201574181,0.00733763332668391,0.191898403605593,5.5686434028958,0.00270416691621114
"6006",300.25,99.6609390111865,0.00730049048983178,0.190969139910266,5.54472227659941,0.00269062876044939
"6007",300.3,99.655137439757,0.00751379536693046,0.196592160044818,5.71118756110646,0.00276937457629127
"6008",300.35,99.6630065936192,0.00722628634064928,0.189111387042865,5.49651336023426,0.00266369173259489
"6009",300.4,99.6597766322301,0.00734275832521819,0.192201653611444,5.58959943690783,0.00270670639890187
"6010",300.45,99.6614081928659,0.00727960210530228,0.190590341897018,5.54572951907216,0.00268359648432684
"6011",300.5,99.6644232148765,0.00716621312600004,0.187662798186701,5.46360693087557,0.00264192315697829
"6012",300.55,99.6580670785644,0.0074004529538116,0.193839308281063,5.64682400176682,0.00272833057252722
"6013",300.6,99.6531699400984,0.00757925671153988,0.198566191399146,5.78748877172127,0.00279448688843846
"6014",300.65,99.64487959304,0.00788664989235641,0.206664708629453,6.02622849413731,0.00290821552257216
"6015",300.7,99.6481404615927,0.00776411100423942,0.203498150940586,5.93594084288085,0.00286365841366966
"6016",300.75,99.6516289777184,0.00763344515553042,0.200116951243104,5.83954836528847,0.00281599034386998
"6017",300.8,99.6511815846668,0.00764638782982577,0.200499733332823,5.85320322003405,0.00282119280368396
"6018",300.85,99.6533146537558,0.00756495685343829,0.198407403419175,5.79454725207571,0.00279158405564699
"6019",300.9,99.6584452819606,0.00737547097053829,0.193479439174062,5.65313778720027,0.00272202761011885
"6020",300.95,99.654401293013,0.00752203363142476,0.197366602724122,5.76965278827578,0.00277635164150521
"6021",301,99.6576822035556,0.00739915871013377,0.194184243811455,5.67921089907633,0.00273134168266569
"6022",301.05,99.6549521236822,0.00749662499504351,0.196784286249624,5.75811614873412,0.0027675776194477
"6023",301.1,99.6593053296429,0.00733521692860354,0.192588547387478,5.63794387361785,0.00270831715928216
"6024",301.15,99.6545731146294,0.0075074943624549,0.197153776309615,5.77457216588108,0.00277214119906851
"6025",301.2,99.6553153505318,0.00747690828728157,0.196392395295903,5.75488258705284,0.002761196783683
"6026",301.25,99.6646775013276,0.00713808097059485,0.187532431360239,5.49780265338052,0.00263638338650142
"6027",301.3,99.6712174047564,0.00689913402095284,0.181293169873711,5.31799752790201,0.00254819960654448
