"","t","x","y","z","v","w"
"137",2.72,82.5627120736888,14.313947731663,3.29300133247285,2.87320786841927,2.94117758025796
"138",2.74,82.2306524181461,14.5818829046623,3.35878444389442,2.91512062420919,2.97824388847235
"139",2.76,81.9892853172354,14.7742998869127,3.40751256150419,2.94171775932792,2.9996354876849
"140",2.78,82.0991717243106,14.6798409864421,3.39028420223378,2.91127972537261,2.96294876457149
"141",2.8,82.1524023832972,14.6311371751918,3.38365732293243,2.89022533576257,2.93585859278415
"142",2.82,81.9750053585881,14.7704188118564,3.42062728176617,2.90642429134091,2.94658579880812
"143",2.84,81.4807141690548,15.1725635569466,3.51880687677135,2.9740974469822,3.00938419915346
"144",2.86,81.2529722501548,15.3525903900569,3.56591512793141,2.99792009361384,3.02779875816883
"145",2.88,80.9807443147488,15.5690157259002,3.62178691784231,3.02871273318728,3.05321495164794
"146",2.9,80.5668998166717,15.9025257619898,3.70527831305693,3.08203223630758,3.10126356192917
"147",2.92,80.6919328475255,15.794621769239,3.68622511670094,3.04977786925333,3.06329127306183
"148",2.94,80.3774668946602,16.045103387624,3.75093217304194,3.0868057613921,3.09484398096859
"149",2.96,80.1211267224235,16.2472535951009,3.80470930522256,3.11436240413492,3.11687514677009
"150",2.98,79.4974134830336,16.7549205205456,3.93049336231347,3.20014126713482,3.19704440544291
"151",3,79.7473923051182,16.5461435846285,3.88861327284329,3.14899972241807,3.14055253329824
"152",3.02,79.4956405781749,16.7436462418588,3.94222915973685,3.17536880519421,3.16131406584168
"153",3.04,79.2267648314042,16.9549032357907,3.9994294137125,3.20422134775131,3.18451920237333
"154",3.06,78.8823149132739,17.2280806800683,4.071624425212,3.24460344831973,3.2191359983617
"155",3.08,79.4794937028747,16.7451610412782,3.96522185240149,3.14286234990612,3.11294060017306
"156",3.1,79.333865127586,16.8550942659598,3.99894194049614,3.1528203098071,3.11734356927111
"157",3.12,78.942551652845,17.166553684058,4.08079993690267,3.20035424777382,3.15883359700954
"158",3.14,79.182284424992,16.9655726012754,4.04109511372108,3.15241092239291,3.10619365559126
"159",3.16,78.7664854050225,17.2967910099466,4.12823116777462,3.20344271462219,3.15098736604403
